Date,InvoiceNo,Vendor,GSTIN,Amount,CGST,SGST,IGST,HSN
05-10-2024,INV-2024-001,TechWorld Solutions,27BBPFU1234G1ZW,100000,9000,9000,0,8471
08-10-2024,INV-2024-002,Rathi Steel Corp,27BBPFU1234G1ZW,200000,18000,18000,0,7308
12-10-2024,INV-2024-003,Patel Mobiles,27BBPFU1234G1ZW,50000,4500,4500,0,8517
15-10-2024,INV-2024-004,Gupta Packaging,27BBPFU1234G1ZW,400000,0,0,72000,3923
18-10-2024,INV-2024-005,National Books,27BBPFU1234G1ZW,30000,2700,2700,0,4901
20-10-2024,INV-2024-006,Sharma Furniture,27BBPFU1234G1ZW,150000,13500,13500,0,9403
22-10-2024,INV-2024-007,PowerTech UPS,27BBPFU1234G1ZW,70000,6300,6300,0,8504
25-10-2024,INV-2024-008,MetalWorks India,27BBPFU1234G1ZW,300000,27000,27000,0,7210
27-10-2024,INV-2024-009,CloudSoft Licences,27BBPFU1234G1ZW,120000,10800,10800,0,9801
30-10-2024,INV-2024-010,MedEquip Supplies,27BBPFU1234G1ZW,20000,1800,1800,0,9018
02-10-2024,INV-2024-011,ABC Stationery,27CCDEF5678H1ZX,15000,1350,1350,0,4820
10-10-2024,INV-2024-012,Sharma Furniture,27BBPFU1234G1ZW,85000,7650,7650,0,9403
14-10-2024,INV-2024-013,Delta Chemicals,24ABCPD6789Q1ZN,62000,0,0,11160,2901
21-10-2024,INV-2024-014,StarHealth Insurance,27AADCS8765R1ZM,25000,2250,2250,0,9971
28-10-2024,INV-2024-015,UnivEdu Academy,33ABDCK3456N1ZT,45000,0,0,8100,9992
